Date,Consumption
9/1/2022,1752
9/2/2022,1094
9/3/2022,1173
9/4/2022,2183
9/5/2022,1949
9/6/2022,2379
9/7/2022,2427
9/8/2022,2293
9/9/2022,927
9/10/2022,1358
9/11/2022,2129
9/12/2022,2069
9/13/2022,1778
9/14/2022,2164
9/15/2022,1033
9/16/2022,1970
9/17/2022,1250
9/18/2022,2299
9/19/2022,1092
9/20/2022,1235
9/21/2022,2338
9/22/2022,1618
9/23/2022,995
9/24/2022,1275
9/25/2022,1820
9/26/2022,2247
9/27/2022,1887
9/28/2022,2414
9/29/2022,1340
9/30/2022,1289
10/1/2022,2448
10/2/2022,1464
10/3/2022,2463
10/4/2022,2328
10/5/2022,1781
10/6/2022,1404
10/7/2022,1812
10/8/2022,1409
10/9/2022,1069
10/10/2022,1379
10/11/2022,1090
10/12/2022,1601
10/13/2022,1738
10/14/2022,1148
10/15/2022,2474
10/16/2022,2043
10/17/2022,2189
10/18/2022,949
10/19/2022,2125
10/20/2022,1544
10/21/2022,1538
10/22/2022,1570
10/23/2022,1830
10/24/2022,1494
10/25/2022,1741
10/26/2022,1984
10/27/2022,2352
10/28/2022,1041
10/29/2022,2499
10/30/2022,2375
10/31/2022,2262
11/1/2022,2495
11/2/2022,1537
11/3/2022,1500
11/4/2022,2475
11/5/2022,1052
11/6/2022,2403
11/7/2022,2226
11/8/2022,2112
11/9/2022,1685
11/10/2022,1095
11/11/2022,2435
11/12/2022,1470
11/13/2022,1314
11/14/2022,1284
11/15/2022,1130
11/16/2022,1571
11/17/2022,2022
11/18/2022,1167
11/19/2022,1510
11/20/2022,948
11/21/2022,920
11/22/2022,1973
11/23/2022,1824
11/24/2022,1780
11/25/2022,1347
11/26/2022,1830
11/27/2022,1761
11/28/2022,2254
11/29/2022,2260
11/30/2022,903
12/1/2022,1889
12/2/2022,2245
12/3/2022,2438
12/4/2022,2129
12/5/2022,2375
12/6/2022,2062
12/7/2022,1149
12/8/2022,2296
12/9/2022,2237
12/10/2022,1247
12/11/2022,981
12/12/2022,1842
12/13/2022,2405
12/14/2022,2326
12/15/2022,1981
12/16/2022,994
12/17/2022,1799
12/18/2022,2068
12/19/2022,1118
12/20/2022,1754
12/21/2022,2274
12/22/2022,1890
12/23/2022,1389
12/24/2022,2219
12/25/2022,1273
12/26/2022,933
12/27/2022,2220
12/28/2022,2131
12/29/2022,1942
12/30/2022,1114
12/31/2022,1192
1/1/2023,1838
1/2/2023,1146
1/3/2023,1680
1/4/2023,1204
1/5/2023,2285
1/6/2023,1355
1/7/2023,1241
1/8/2023,1923
1/9/2023,2209
1/10/2023,1567
1/11/2023,2286
1/12/2023,1244
1/13/2023,2172
1/14/2023,1578
1/15/2023,2085
1/16/2023,1330
1/17/2023,1341
1/18/2023,1817
1/19/2023,1983
1/20/2023,919
1/21/2023,1432
1/22/2023,1658
1/23/2023,1238
1/24/2023,2056
1/25/2023,2039
1/26/2023,2288
1/27/2023,1886
1/28/2023,1607
1/29/2023,2427
1/30/2023,2324
1/31/2023,1307
2/1/2023,1641
2/2/2023,1957
2/3/2023,1890
2/4/2023,1188
2/5/2023,2459
2/6/2023,2119
2/7/2023,1252
2/8/2023,1401
2/9/2023,1175
2/10/2023,1440
2/11/2023,1010
2/12/2023,2322
2/13/2023,1686
2/14/2023,1874
2/15/2023,1877
